id,Sitio,Departamento,Municipio,Distrito,Latitud,Longitud
1,Parque Boqueron,La Libertad,La Libertad Sur,Santa Tecla,13.734527582506324, -89.2794292731072
2,Parque Central de Anamorós,La Union,La Unión Norte,Anamorós,13.741601459096485, -87.87096102225175
3,Parque Central de Coatepeque,Santa Ana,Santa Ana Este,Coatepeque,13.925164482819559, -89.5044506009578
4,Parque Central de Ilobasco,Cabañas,Cabañas Oeste,Ilobasco,13.842666124116896, -88.85002298166214
5,Parque Central de La Unión,La Unión,La Unión Sur,La Unión,13.337398023817013, -87.84320008196714
6,Parque Central de Pasaquina,La Union,La Unión Norte,Pasaquina,13.584384440227993, -87.83795440090189
7,Parque Central de San Pedro Puxtla,Ahuachapan,Ahuachapán Sur,San Pedro Puxtla,13.772924157452971, -89.80783570377025
8,Parque Central de Sociedad,Morazán,Morazán Sur,Sociedad,13.698256547444565, -88.00731266559234
9,Parque Central de Usulután,Usulután,Usulután Este,Usulután,13.345421880447516, -88.43983876986013
10,Parque Central de Zacatecoluca,La Paz,La Paz Este,Zacatecoluca,13.509115004310745, -88.87062473208401
11,Parque Central El Paraiso,Chalatenango,Chalatenango Centro,El Paraíso,14.106367253332529, -89.06887850504116
12,Parque Centroamerica,La Libertad,La Libertad Costa,La Libertad,13.488039724843661, -89.32035101058683
13,Parque Cinquera,Cabañas,Cabañas Oeste,Cinquera,13.888279369958612, -88.95898199077973
14,Parque Corinto,Morazan,Morazán Norte,Corinto,13.808770584691676, -87.96961136183404
15,Parque Cuisnahuat,Sonsonate,Sonsonate Este,Cuisnahuat,13.63847998149398, -89.60423940432568
16,Parque de Apastepeque,San Vicente,San Vicente Norte,Apastepeque,13.667745795753005, -88.78038221266156
17,Parque de Atiquizaya,Ahuachapan,Ahuachapán Norte,Atiquizaya,13.976624487250307, -89.75635848412153
18,Parque de Ciudad Arce,La Libertad,La Libertad Centro,Ciudad Arce,13.83818993374459, -89.44502275697941
19,Parque de Ciudad Dolores,Cabañas,Cabañas Este,Dolores,13.777918823647923, -88.5661225661547
20,Parque de Cojutepeque,Cuscatlán,Cuscatlán Sur,Cojutepeque,13.721793028225836, -88.9345254583002
21,Parque de Comasagua,La Libertad,La Libertad Sur,Comasagua,13.637988121420117, -89.37699450184907
22,Parque de Conchagua,La Union,La Unión Sur,Conchagua,13.3072994856774, -87.86292895309042
23,Parque de El Refugio,Ahuachapan,Ahuachapán Norte,El Refugio,13.974924532719502, -89.70562044907545
24,Parque de Guacotecti,Cabañas,Cabañas Este,Guacotecti,13.874128666089689, -88.64512171200207
25,Parque de Huizucar,La Libertad,La Libertad Este,Huizúcar,13.58739222498044, -89.23579662249087
26,Parque de Nahulingo,Sonsonate,Sonsonate Centro,Nahulingo,13.704245862188177, -89.71532589686383
27,Parque de Panchimalco,San Salvador,San Salvador Sur,Panchimalco,13.611474594749689, -89.17950119168214
